Department,Course,Credit
Humanities,Written and Oral Comm.,1
Humanities,Text and Meaning,1
Humanities,Leadership 1,0.5
Humanities,Leadership 2,0.5
Humanities,Leadership 3,0.5
Humanities,Leadership 4,1
Humanities,Microeconomics,1
Humanities,Macroeconomics,1
Business,FDE I,1
Business,FDE II,1
Mathematics,Calculus 1,1
Mathematics,Calculus 2,1
Mathematics,Pre-Calculus 1,1
Mathematics,Pre-Calculus 2,1
Mathematics,Applied Calculus (Pre-Calc Track Only),1
Mathematics,Statistics,1
Mathematics,Quantitative Methods,1
Computing,Intro to Computing & Information Systems,1
Research,Research Methods,1
Non-major elective,Africana,1
Non-major elective,Non-major elective,1
Core,Finance for Non-Finance Mgrs,1
Core,Managerial Accounting,1
Core,Competitive Strategy,1
Core,Computer Programming for CS,1
Core,Discrete Structures & Theory,1
Core,Database Systems,1
Core,Web Technologies,1
Core,Systems Analysis & Design,1
Core,Information & Systems Security,1
Core,E-Commerce,1
Core,IT Infrastructure,1
Core,System Administration Lab,0.5
Core,IS Project Management,0.5
Elective,Machine learning,1
Elective,Robotics,1
Elective,Computer Graphics,1
Elective,Advanced Database Systems,1
Elective,E-Commerce,1
Elective,Mobile Application Development,1
Elective,Parallel and Distributed Computing,1
Elective,Neural Networks,1
Elective,Data Mining,1
Elective,Other Elective,1
Elective,International Finance,1
Elective,Human Resource Management,1
Elective,Real Estate Development,1
Elective,Service Marketing,1
Elective,Strategic Brand Management,1
Elective,Supply Chain Management,1
Elective,Development Economics,1
Elective,Organizational Development,1
Elective,New Product Development,1
Elective,Econometrics,1
Elective,Other major elective,1
Capstone,Applied Project,1
Capstone,Thesis 1,1
Capstone,Thesis 2,1
Capstone,Entrepreneurship 1,1
Capstone,Entrepreneurship 2,1
